物理;ぶつり;physics。 natural law
控える;ひかえる;hold back or show moderation
控え室;ひかえしつ;waiting room
コンセント;コンセント;outlet or wall socket
当番;とうばん;being on duty or person on duty
見違える;みちがえる;mistake or fail to recognize
ほうき;ほうき;broom
差し出す;さしだす;submit or stretch out
少女;しょうじょ;girl
上;じょう;upper or best
弱み;よわみ;weakness or shortcoming
握り締める;にぎりしめる;squeeze or grip
両手;りょうて;both hands
設備;せつび;equipment or facilities
各種;かくしゅ;each kind or various
揃う;そろう;be (all) together
道具;どうぐ;tool
括弧;かっこ;parentheses or brackets
マーケット;マーケット;market
オーケストラ;オーケストラ;orchestra or orchestral music
指揮;しき;command or initiative
輝く;かがやく;shine brilliantly or glitter
抑える;おさえる;suppress or bring under control
欲求;よっきゅう;want or desire
信仰;しんこう;faith or religious belief
定年;ていねん;mandatory retirement age
出迎え;でむかえ;meeting or receiving
保育園;ほいくえん;day-care center or nursery school
迎え;むかえ;greeting or meeting
遂げる;とげる;accomplish or achieve
目覚ましい;めざましい;striking or marvelous
巡る;めぐる;go round or circulate
偶然;ぐうぜん;chance or accident
偶数;ぐうすう;even number
隅;すみ;nook or corner
城;しろ;castle or fort
栽培;さいばい;cultivation or raising
警戒;けいかい;vigilance or precaution
挙げる;あげる;cite or give (an example)
幾ら;いくら;no matter how much
伺う;うかがう;politely ask
俳句;はいく;haiku
俳優;はいゆう;actor or actress
動作;どうさ;movements or actions
敏感;びんかん;sensitive
後悔;こうかい;regret
悔しい;くやしい;vexing or frustrating
今更;いまさら;now or too late
倣う;ならう;copy or follow an example
俺;おれ;I or me
ロック;ロック;rock (music)
反感;はんかん;ill feeling or antipathy
振り向く;ふりむく;turn around or look back
性格;せいかく;character or personality
一部分;いちぶぶん;part or portion
肯定;こうてい;affirmation
空っぽ;からっぽ;empty
オルガン;オルガン;organ or pipe organ
辛い;からい;strict or severe
書き取り;かきとり;dictation
本気;ほんき;seriousness or earnestness
つかむ;つかむ;grip or grab
相撲;すもう;sumo wrestling
入門;にゅうもん;initiation
不平;ふへい;discontent or dissatisfaction
寮;りょう;dormitory or lodging house
偏る;かたよる;be one-sided or deviate
偏見;へんけん;prejudice or biased view
一遍に;いっぺんに;all at once
何遍;なんべん;how many times
程;ほど;extent or limit
掘る;ほる;dig or unearth
宗教;しゅうきょう;religion
宣伝;せんでん;publicity or advertisement
審議;しんぎ;deliberation or consideration
憲法;けんぽう;constitution or constitutional law
扱う;あつかう;handle or deal with
展覧会;てんらんかい;exhibition
資産;しさん;property or assets
非難;ひなん;criticism or blame
総理大臣;そうりだいじん;prime minister
大臣;だいじん;minister
休業;きゅうぎょう;suspension of business or closure
臨む;のぞむ;be present at
臨時;りんじ;temporary or provisional
改造;かいぞう;remodeling or reorganization
内閣;ないかく;cabinet
闘う;たたかう;fight
派閥;はばつ;clique or faction
分裂;ぶんれつ;division or split
衰える;おとろえる;weaken or decline
振り返る;ふりかえる;turn one's head or turn round
懐かしい;なつかしい;longed-for or old
惜しむ;おしむ;grudge or regret
惜しい;おしい;almost or close
火山;かざん;volcano
噴火;ふんか;eruption or volcanic activity
噴水;ふんすい;jet or fountain
恨み;うらみ;grudge or hatred
恨む;うらむ;hold a grudge or feel resentment
不愉快;ふゆかい;unpleasant or disagreeable
愉快;ゆかい;pleasant or delightful
覚悟;かくご;readiness or resolution
追う;おう;chase or pursue
親指;おやゆび;thumb
怪しい;あやしい;suspicious or dubious
怪しむ;あやしむ;suspect
軍;ぐん;army or troops
鋭い;するどい;pointed or acute
防ぐ;ふせぐ;prevent or defend
復活;ふっかつ;revival or rebirth
付近;ふきん;neighborhood or environs
手当て;てあて;allowance or medical care
人差し指;ひとさしゆび;index finger
限界;げんかい;boundary or limit
自慢;じまん;showing off
感心;かんしん;admiration
少々;しょうしょう;a little or a few
下品;げひん;vulgar or low
漫画;まんが;manga or comics
囲む;かこむ;enclose or encircle
食卓;しょくたく;dining table
元;もと;origin or source
電卓;でんたく;pocket calculator
歓迎;かんげい;welcome
医師;いし;doctor or physician
勧める;すすめる;suggest or recommend
焦る;あせる;feel pressured or feel hurried
焦げる;こげる;scorch or burn
英雄;えいゆう;hero
山脈;さんみゃく;mountain range
雄大;ゆうだい;grand or magnificent
正に;まさに;just or surely
獲得;かくとく;acquisition
収穫;しゅうかく;harvest or harvesting
幼稚;ようち;childish or infantile
稲;いね;rice plant
